story_key,comparison_type,variant,semantic_similarity_sbert,delta_cli,delta_aoa,delta_concreteness,delta_imageability,delta_fk_grade,delta_mtld,delta_tier2_proxy_token_ratio
anita,human_reference,human::elementary,0.7540255188941956,0.49772545359143616,-7.199999999999989,9.172724730882123,10.706168831168782,-2.340560086853074,-25.183789954337897,-0.05215898280702568
copyright,human_reference,human::elementary,0.976621150970459,0.65914823683299,-33.911764705882376,5.0331610942249085,2.1795463805513577,-2.287435221783049,-14.111369843868118,-0.0320660252994138
crowdfunding,human_reference,human::elementary,0.8555333018302917,1.0364476002416119,-62.36703741152684,2.604089856812095,1.3559890994673651,-2.5814081912537326,-1.5161875115926335,-0.011122312920745385
everest,human_reference,human::elementary,0.8071264028549194,-0.09545935466655689,-10.30735930735932,-5.95479808639368,-7.107513332942631,-1.6830695912274862,-29.836489951864593,-0.014395640112776553
loterry,human_reference,human::elementary,0.928984522819519,0.8501348421320573,-16.756034482758594,14.564556962025279,15.91535433070868,-1.37989379528263,-9.75630888119106,-0.023143523143523137
wnl 101 year old bottle message,human_reference,human::elementary,0.9543273448944092,0.41281935525737523,-19.528919860627184,3.3569974554707187,2.4689069078434613,-1.9622861081071648,-0.9390920930445219,-0.026710912849526713
wnl billionaires,human_reference,human::elementary,0.9279595613479614,0.19819228761006635,-24.947250086475265,-6.583052039381187,-3.2256302521008706,-3.325654126971731,-48.71928696509168,-0.020862470862470867
wnl experience,human_reference,human::elementary,0.9342689514160156,0.7210428027938243,-17.449292452830207,12.311427009294675,11.09964540829435,-1.5134758379442097,-20.694212680420193,-0.007803374432186892
wnl ten ideas,human_reference,human::elementary,0.9135313034057617,0.1734681500850368,8.801026957638044,6.898844560715077,8.941196817710136,-2.409118286358595,-92.05908580675123,-0.042751070918610176
wnl why we should,human_reference,human::elementary,0.889441967010498,0.4465145682018832,-13.537373737373741,6.717675635276578,5.626206024857822,-4.423147617719515,-58.43841941125079,-0.026791898706120296
wnl are you a bad boyfriend,human_reference,human::elementary,0.869896650314331,0.5528683187097925,-19.444852941176464,4.217391304347814,8.602733195614178,-1.2176630434782574,-40.88679843232242,-0.005126085159156676
wnl shark,human_reference,human::elementary,0.9424149990081787,-0.34962523235057474,-13.150693568726354,-17.14950873837057,-11.676580149002632,-2.4749475350301395,-31.794388016250906,-0.013693219223173153
anita,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.0,0.957904040813446,0.33547134870666295,-26.19650349650351,-2.06846456305027,-1.4876756185503268,-1.7516646811834775,-11.679787917737798,-0.03291029064091555
anita,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.2,0.9068007469177246,0.8854108767512539,-34.98562421185369,9.842732541348198,8.13091912742749,-2.0143595029349015,-12.933147040900792,-0.04042504628338109
anita,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.5,0.9124237298965454,0.925400025381072,-27.57217194570137,13.454608788853136,12.44141604010025,-2.153690937083205,-7.886670416197973,-0.026656325264318076
anita,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.0,0.9481597542762756,0.6803795556239749,-42.5889490790899,1.382714240148971,-0.058452380952417116,-2.3177603644936013,-34.45551801534333,-0.022912208018128336
anita,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.2,0.9465327262878418,0.8215293367735743,-42.15841995841993,5.0647137757297855,3.8745354239256358,-2.5296986629025184,-15.039463030436863,-0.024396002203509876
anita,llm_simplification,openai::openai/gpt-5.2::few_shot::temp=0.5,0.9400429725646973,0.7922709642138386,-38.4237762237762,4.262709924044088,5.970926231764338,-1.8970332145380127,-5.345549664232266,-0.0388768625068044
anita,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.0,0.9599157571792603,0.3989227763862808,-20.55494505494505,1.9813823554226246,2.24472512582264,-2.206991122620117,-6.428711200754805,-0.02884475130062722
anita,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.2,0.9514393210411072,0.735504503275429,-38.208667388949095,5.464969149213516,2.289558840992754,-2.5867924015106922,-30.060685398041727,-0.024287646425051004
anita,llm_simplification,openai::openai/gpt-5.2::chain_of_thought::temp=0.5,0.9313725829124451,0.808014172375622,-29.172355769230762,8.125697224227338,10.25670584689567,-1.9138786422462744,-3.81423695758167,-0.02954158225895169
copyright,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.0,0.8899967670440674,0.629840849061277,-29.899999999999977,3.4589260984514567,5.170437824481496,-3.409347826086954,13.41785258866517,-0.033391709644502054
copyright,llm_simplification,openai::openai/gpt-5.2::zero_shot::temp=0.2,0.9301142692565918,0.7515648693253643,-31.230769230769226,8.537749838813625,5.584646395820869,-4.004378255908179,6.79040165587827,-0.0338238117440553
